STEM,ORIGINAL,TRANSLATED,VALENCE,AROUSAL,DOMINANCE
двухгодичн,biennial,двухгодичный,0.531,0.309,0.353
разветвлен,bifurcation,разветвление,0.385,0.625,0.352
больш,big,большой,0.802,0.588,0.812
двоеженств,bigamy,двоеженство,0.327,0.696,0.482
большой ден,bigday,Большой день,0.796,0.689,0.596
Biggie,biggie,Biggie,0.531,0.481,0.500
большой рог,bighorn,большой рог,0.480,0.547,0.580
большой рот,bigmouth,большой рот,0.417,0.577,0.430
изувер,bigot,изувер,0.479,0.745,0.517
нетерпим,bigoted,нетерпимый,0.153,0.760,0.462
фанатизм,bigotry,фанатизм,0.356,0.737,0.481
байкер,biker,байкер,0.604,0.710,0.567
бикин,bikini,бикини,0.730,0.639,0.353
двусторон,bilateral,двусторонний,0.633,0.343,0.491
двойной сл,bilayer,двойной слой,0.438,0.398,0.388
желч,bile,желчь,0.157,0.461,0.324
днищ,bilge,днище,0.316,0.392,0.412
двуязычн,bilingual,двуязычный,0.735,0.490,0.606
законопроект,bill,законопроект,0.396,0.402,0.535
рекламный щ,billboard,рекламный щит,0.594,0.317,0.481
болванк,billet,болванка,0.479,0.583,0.500
бильярдн,billiard,бильярдный,0.719,0.616,0.543
бильярд,billiards,бильярд,0.643,0.559,0.387
биллинг,billing,биллинг,0.406,0.481,0.670
миллиард,billion,миллиард,0.719,0.564,0.782
миллиардер,billionaire,миллиардер,0.806,0.667,0.923
билл,billy,Билли,0.490,0.397,0.375
пустышк,bimbo,пустышка,0.396,0.370,0.300
раз в два месяц,bimonthly,раз в два месяца,0.408,0.298,0.471
бункер,bin,бункер,0.422,0.304,0.327
двоичн,binary,двоичный,0.490,0.356,0.420
привязыва,bind,привязывать,0.398,0.462,0.448
связующее веществ,binder,связующее вещество,0.438,0.250,0.308
переплетн,bindery,переплетная,0.548,0.388,0.482
переплет,binding,переплет,0.438,0.425,0.640
бинг,bing,Бинг,0.573,0.453,0.415
выпивк,binge,выпивка,0.304,0.650,0.500
бинокулярн,binocular,бинокулярный,0.531,0.344,0.426
бинокл,binoculars,бинокль,0.490,0.309,0.411
бин,binomial,бином,0.600,0.406,0.426
би,bio,био,0.612,0.225,0.490
биохимическ,biochemical,биохимический,0.367,0.481,0.618
биохимик,biochemist,биохимик,0.471,0.449,0.717
биохим,biochemistry,биохимия,0.552,0.531,0.596
биогенез,biogenesis,биогенез,0.594,0.442,0.697
биограф,biographer,биограф,0.708,0.427,0.617
биологическ,biological,биологический,0.590,0.410,0.615
биолог,biologist,биолог,0.625,0.453,0.693
бионическ,bionic,бионический,0.571,0.570,0.788
биопс,biopsy,биопсия,0.323,0.657,0.481
биосфер,biosphere,биосфера,0.684,0.351,0.579
двураздельн,bipartite,двураздельный,0.365,0.480,0.464
биполярн,bipolar,биполярный,0.208,0.685,0.426
берез,birch,береза,0.562,0.346,0.382
птиц,bird,птица,0.729,0.357,0.364
клетк,birdcage,клетка,0.480,0.398,0.318
птичк,birdie,птичка,0.594,0.394,0.407
орнитолог,birdman,орнитолог,0.490,0.567,0.604
рожден,birth,рождение,0.896,0.655,0.536
день рожден,birthday,день рождения,0.969,0.844,0.575
родильн,birthing,родильный,0.796,0.877,0.519
родинк,birthmark,родинка,0.630,0.461,0.500
место рожден,birthplace,место рождения,0.781,0.290,0.491
право по рожден,birthright,право по рождению,0.684,0.417,0.714
бискв,biscuit,бисквит,0.888,0.260,0.231
бисексуа,bisexual,бисексуал,0.438,0.765,0.459
епископ,bishop,епископ,0.594,0.184,0.725
бизон,bison,бизон,0.573,0.433,0.557
фор,bisque,фора,0.693,0.443,0.312
бистр,bistro,бистро,0.594,0.472,0.396
немн,bit,немного,0.427,0.310,0.225
сук,bitch,сука,0.276,0.740,0.343
озлоблен,bitchy,озлобленный,0.188,0.700,0.373
укус,bite,укусить,0.219,0.796,0.510
крохотн,bitsy,Крохотный,0.510,0.388,0.382
горьк,bitter,горький,0.218,0.627,0.411
гореч,bitterness,горечь,0.115,0.633,0.270
горьковато-сладк,bittersweet,горьковато-сладкий,0.469,0.569,0.474
разношерстн,bitty,разношерстный,0.469,0.271,0.257
битум,bitumen,битум,0.375,0.235,0.307
раз в две недел,biweekly,раз в две недели,0.581,0.337,0.455
бизнес,biz,бизнес,0.500,0.473,0.473
эксцентричн,bizarre,эксцентричный,0.379,0.620,0.392
болтун,blab,болтун,0.438,0.425,0.353
черн,black,черный,0.326,0.339,0.390
черная зме,black snake,черная змея,0.104,0.860,0.612
ежевик,blackberry,ежевика,0.667,0.413,0.453
дрозд черн,blackbird,дрозд черный,0.520,0.340,0.405
классная доск,blackboard,классная доска,0.469,0.255,0.287
черное лиц,blackface,черное лицо,0.302,0.490,0.441
блэк джек,blackjack,Блэк Джек,0.419,0.679,0.452
черный список,blacklist,черный список,0.133,0.750,0.396
шантажирова,blackmail,шантажировать,0.094,0.802,0.482
шантажист,blackmailer,шантажист,0.092,0.780,0.472
чернот,blackness,чернота,0.260,0.480,0.406
затемнен,blackout,затемнение,0.126,0.530,0.349
кузнец,blacksmith,кузнец,0.480,0.531,0.702
мочевой пузыр,bladder,мочевой пузырь,0.406,0.412,0.330
лопаст,blade,лопасть,0.378,0.602,0.594
вин,blame,вина,0.115,0.640,0.309
безупречн,blameless,безупречный,0.759,0.196,0.343
ласков,bland,ласковый,0.300,0.226,0.157
пуст,blank,пустой,0.531,0.229,0.250
одея,blanket,одеяло,0.740,0.132,0.391
воп,blare,вопить,0.439,0.561,0.519
богохульн,blasphemous,богохульный,0.210,0.755,0.491
богохульств,blasphemy,богохульство,0.146,0.794,0.406
взрыв,blast,взрыв,0.167,0.929,0.777
взрывател,blaster,взрыватель,0.459,0.538,0.554
взлета,blastoff,взлетать,0.357,0.865,0.736
вопиющ,blatant,вопиющий,0.327,0.677,0.675
полыха,blaze,полыхать,0.698,0.467,0.658
блейзер,blazer,блейзер,0.635,0.385,0.417
отбеливател,bleach,отбеливатель,0.336,0.282,0.337
мрачн,bleak,мрачный,0.204,0.427,0.272
кровоточ,bleed,кровоточить,0.041,0.843,0.346
вымогател,bleeder,вымогатель,0.260,0.852,0.356
кровотечен,bleeding,кровотечение,0.135,0.817,0.408
бип,bleep,бип,0.479,0.667,0.345
порок,blemish,порок,0.219,0.558,0.272
порт,blemished,портивший,0.173,0.469,0.370
сме,blend,смесь,0.469,0.452,0.463
смесител,blender,смеситель,0.602,0.534,0.351
смешиван,blending,смешивание,0.560,0.418,0.637
благослов,bless,благословить,0.929,0.269,0.588
благословен,blessed,благословенный,0.910,0.279,0.696
блю,bleu,блю,0.460,0.354,0.379
отравля,blight,отравлять,0.271,0.771,0.429
омрач,blighted,омрачена,0.146,0.615,0.296
слеп,blind,слепой,0.156,0.360,0.184
ослеп,blinded,ослепил,0.245,0.471,0.231
повязка на глаз,blindfold,повязка на глаза,0.448,0.684,0.337
с завязанными глаз,blindfolded,с завязанными глазами,0.208,0.564,0.209
ослеплен,blinding,ослепление,0.304,0.596,0.406
слепот,blindness,слепота,0.245,0.480,0.196
мерца,blink,мерцать,0.552,0.316,0.324
изображение на экране радар,blip,изображение на экране радара,0.529,0.461,0.418
блаженств,bliss,блаженство,0.816,0.500,0.782
блажен,blissful,блаженный,0.885,0.639,0.676
волдыр,blister,волдырь,0.407,0.538,0.402
образование пузыр,blistering,образование пузырей,0.344,0.569,0.390
блицкриг,blitz,блицкриг,0.417,0.722,0.789
метел,blizzard,метель,0.375,0.726,0.417
раздува,bloat,раздуваться,0.229,0.694,0.298
раздут,bloated,раздутый,0.167,0.593,0.424
капл,blob,капля,0.500,0.376,0.298
блок,block,блок,0.286,0.350,0.402
блокад,blockade,блокада,0.380,0.519,0.510
блокировк,blockage,блокировка,0.250,0.608,0.444
блокбастер,blockbuster,блокбастер,0.730,0.676,0.883
болва,blockhead,болван,0.163,0.333,0.148
блог,blog,блог,0.639,0.390,0.432
парен,bloke,парень,0.450,0.479,0.545
блондин,blond,блондин,0.590,0.490,0.490
блондинк,blonde,блондинка,0.698,0.545,0.412
кров,blood,кровь,0.219,0.684,0.585
бойн,bloodbath,бойня,0.060,0.971,0.475
ищейк,bloodhound,ищейка,0.327,0.462,0.538
бескровн,bloodless,бескровный,0.292,0.390,0.212
кровопролит,bloodshed,кровопролитие,0.048,0.942,0.525
воспален,bloodshot,воспаленный,0.188,0.810,0.482
кровоток,bloodstream,кровоток,0.552,0.530,0.528
кровожадн,bloodthirsty,кровожадный,0.052,0.804,0.644
кровав,bloody,кровавый,0.031,0.910,0.518
цветен,bloom,цветение,0.816,0.453,0.587
шаровар,bloomers,шаровары,0.521,0.587,0.395
цветущ,blooming,цветущий,0.860,0.452,0.593
цвест,blossom,цвести,0.792,0.275,0.309
пятн,blot,пятно,0.365,0.304,0.223
покрытый пятн,blotched,покрытый пятнами,0.133,0.562,0.264
промокашк,blotter,промокашка,0.360,0.298,0.280
блузк,blouse,блузка,0.580,0.190,0.302
дут,blow,дуть,0.316,0.750,0.570
воздуходувк,blower,воздуходувка,0.564,0.550,0.536
Blowfish,blowfish,Blowfish,0.344,0.420,0.389
дующ,blowing,дующий,0.521,0.472,0.434
минет,blowjob,минета,0.460,0.784,0.387
взорва,blown,взорван,0.333,0.548,0.412
задут,blowout,задуть,0.398,0.792,0.616
паяльная ламп,blowtorch,паяльная лампа,0.520,0.730,0.510
выпячива,blubber,выпячивающийся,0.388,0.260,0.360
bluddy,bluddy,bluddy,0.312,0.528,0.442
син,blue,синий,0.646,0.137,0.291
голубая ел,blue spruce,голубая ель,0.559,0.335,0.364
черник,blueberry,черника,0.656,0.185,0.365
певчая птиц,bluebird,певчая птица,0.573,0.350,0.450
мятлик,bluegrass,мятлик,0.573,0.441,0.395
Bluejay,bluejay,Bluejay,0.635,0.520,0.310
план,blueprint,план,0.490,0.173,0.425
блюз,blues,блюз,0.469,0.220,0.287
утес,bluff,утес,0.418,0.286,0.377
голубоват,bluish,голубоватый,0.604,0.245,0.382
просчет,blunder,просчет,0.135,0.635,0.145
туп,blunt,тупой,0.551,0.680,0.925
размыт,blurred,размытый,0.320,0.367,0.231
сболтнут,blurt,сболтнуть,0.408,0.439,0.441
румянец,blush,румянец,0.698,0.610,0.445
